property_id,source_name,price,surface,rooms,city,region,zone,municipalite,transaction_type,type,latitude,longitude,features,reliability_score,reliability_level,model_weight,is_outlier,suspected_duplicate,change_type,price_delta_pct,price_per_m2,scraped_at
affare_1737,affare,680000.0,1430.0,,Route El Ain,SFAX,east,Agareb,Sale,Land,34.7392,10.5258,,95,HIGH,1.5,False,False,unchanged,0.0,475.52,2026-03-24T12:20:36.507876
affare_224230,affare,1800.0,230.0,3.0,Akouda,SOUSSE,east,Akouda,Sale,Apartment,35.8667,10.5667,Ascenseur|Parking,90,HIGH,1.5,True,False,unchanged,0.0,7.83,2026-03-24T10:37:11.016179
affare_243820,affare,65000.0,10000.0,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,,65,GOOD,1.0,True,False,unchanged,0.0,6.5,2026-03-24T12:19:38.995646
affare_248364,affare,350000.0,,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,,55,LOW,0.5,False,False,unchanged,0.0,,2026-03-24T12:19:32.508686
affare_240053,affare,225000.0,60.0,1.0,Ennasr,ARIANA,north,Ariana Ville,Sale,Apartment,36.866011,10.193923,Ascenseur,100,HIGH,1.5,False,False,unchanged,0.0,3750.0,2026-03-24T11:43:12.454942
affare_228212,affare,1500.0,100.0,2.0,Hammam Sousse,SOUSSE,east,Hammam Sousse,Sale,Apartment,35.8592,10.59,Ascenseur|Parking,90,HIGH,1.5,True,False,unchanged,0.0,15.0,2026-03-24T10:37:16.637707
affare_241011,affare,245000.0,,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,,55,LOW,0.5,False,False,unchanged,0.0,,2026-03-24T12:19:55.071988
affare_223096,affare,78000.0,312.0,,Hammamet Sud,NABEUL,north,Hammamet,Sale,Land,36.4,10.6167,,95,HIGH,1.5,False,False,unchanged,0.0,250.0,2026-03-24T11:43:17.970079
affare_241005,affare,175000.0,,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,,55,LOW,0.5,False,False,unchanged,0.0,,2026-03-24T12:19:45.186822
affare_221112,affare,,,,El Fahs,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,garage,40,LOW,0.5,False,False,unchanged,,,2026-03-24T12:19:50.173073
affare_257705,affare,1600.0,120.0,2.0,Ennasr,ARIANA,north,Ariana Ville,Rent,Apartment,36.866011,10.193923,Ascenseur|Parking,100,HIGH,1.5,False,False,unchanged,0.0,13.33,2026-03-24T12:21:22.592523
affare_256542,affare,460000.0,180.0,3.0,Akouda,SOUSSE,east,Akouda,Sale,Other,35.8667,10.5667,Ascenseur,100,HIGH,1.5,False,False,unchanged,0.0,2555.56,2026-03-24T10:37:06.935490
affare_253257,affare,600000.0,865.0,2.0,Kalâat El Andalous,ARIANA,north,Ariana Ville,Sale,Land,36.866011,10.193923,jardin|parking|climatisation|terrasse,100,HIGH,1.5,False,False,unchanged,0.0,693.64,2026-03-24T11:43:07.055998
affare_258711,affare,1500.0,70.0,1.0,Menzah,ARIANA,north,Ariana Ville,Rent,Apartment,36.866011,10.193923,Ascenseur|Parking,100,HIGH,1.5,False,False,unchanged,0.0,21.43,2026-03-24T12:21:16.675673
affare_256718,affare,780000.0,500.0,7.0,Ghazela,ARIANA,north,Ariana Ville,Sale,Land,36.866011,10.193923,jardin|garage|terrasse,100,HIGH,1.5,False,False,unchanged,0.0,1560.0,2026-03-24T12:21:31.541223
affare_257858,affare,2300.0,200.0,,Sousse Médina,SOUSSE,east,Sidi El Heni,Sale,Commercial,35.6756,10.3106,meuble,80,GOOD,1.0,True,False,unchanged,0.0,11.5,2026-03-24T11:43:33.173096
affare_248365,affare,185000.0,,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,,55,LOW,0.5,False,False,unchanged,0.0,,2026-03-24T12:19:26.059473
affare_257768,affare,1100.0,70.0,,Sousse Médina,SOUSSE,east,Sidi El Heni,Sale,Commercial,35.6756,10.3106,meuble,80,GOOD,1.0,True,False,unchanged,0.0,15.71,2026-03-24T11:43:25.213579
affare_257399,affare,1320.0,70.0,1.0,Ennasr,ARIANA,north,Ariana Ville,Rent,Apartment,36.866011,10.193923,Ascenseur|Parking,100,HIGH,1.5,False,False,unchanged,0.0,18.86,2026-03-24T11:42:52.644355
affare_255747,affare,560000.0,148.0,3.0,Les Berges Du Lac,TUNIS,north,Jebel Jelloud,Sale,Commercial,36.7667,10.1833,Ascenseur|Parking,100,HIGH,1.5,False,False,unchanged,0.0,3783.78,2026-03-24T11:42:59.668778
affare_259050,affare,1050.0,580.0,4.0,Hammamet Sud,NABEUL,north,Hammamet,Sale,Land,36.4,10.6167,piscine|jardin|parking|chauffage central|climatisation|terrasse,90,HIGH,1.5,True,False,unchanged,0.0,1.81,2026-03-24T12:20:02.062125
affare_259048,affare,740000.0,400.0,4.0,Hammamet Sud,NABEUL,north,Hammamet,Sale,Land,36.4,10.6167,piscine|jardin|parking|chauffage central|climatisation|terrasse,100,HIGH,1.5,False,False,unchanged,0.0,1850.0,2026-03-24T12:20:30.461691
affare_259041,affare,260000.0,364.0,4.0,Akouda,SOUSSE,east,Akouda,Sale,Land,35.8667,10.5667,jardin,100,HIGH,1.5,False,False,unchanged,0.0,714.29,2026-03-24T12:20:47.428682
affare_259042,affare,,130.0,3.0,Sousse Jawhara,SOUSSE,east,Sidi El Heni,Sale,Apartment,35.6756,10.3106,haut standing,90,HIGH,1.5,False,False,unchanged,,,2026-03-24T12:20:57.568441
affare_259046,affare,410000.0,811.0,,Route El Ain,SFAX,east,Agareb,Sale,Land,34.7392,10.5258,,95,HIGH,1.5,False,False,unchanged,0.0,505.55,2026-03-24T12:20:24.628256
affare_259051,affare,2300.0,6714.0,,Grombalia,NABEUL,north,Nabeul,Sale,Land,36.4561,10.7358,,65,GOOD,1.0,True,False,unchanged,0.0,0.34,2026-03-24T12:20:11.808869
affare_259052,affare,820000.0,540.0,4.0,Hammamet Sud,NABEUL,north,Hammamet,Sale,Land,36.4,10.6167,jardin|parking|terrasse,100,HIGH,1.5,False,False,unchanged,0.0,1518.52,2026-03-24T12:19:19.267188
affare_259049,affare,300000.0,620.0,,Route El Ain,SFAX,east,Agareb,Sale,Land,34.7392,10.5258,,95,HIGH,1.5,False,False,unchanged,0.0,483.87,2026-03-24T12:20:18.114763
affare_259047,affare,1300.0,1200.0,,Sousse Riadh,SOUSSE,east,Sousse Riadh,Sale,Land,35.8269,10.63,,75,GOOD,1.0,True,False,unchanged,0.0,1.08,2026-03-24T12:20:07.204343
affare_259043,affare,720000.0,500.0,3.0,Hammamet Sud,NABEUL,north,Hammamet,Sale,Villa,36.4,10.6167,piscine|jardin|parking|climatisation|terrasse,100,HIGH,1.5,False,False,unchanged,0.0,1440.0,2026-03-24T12:21:07.353888
affare_259060,affare,760000.0,750.0,4.0,Hammamet Sud,NABEUL,north,Hammamet,Sale,Land,36.4,10.6167,piscine|jardin|parking|terrasse,100,HIGH,1.5,False,False,unchanged,0.0,1013.33,2026-03-24T12:18:19.875191
affare_259056,affare,170000.0,95.0,2.0,Hammamet,NABEUL,north,Hammamet,Sale,Apartment,36.4,10.6167,Parking,100,HIGH,1.5,False,False,unchanged,0.0,1789.47,2026-03-24T12:19:02.079981
affare_259061,affare,730000.0,350.0,4.0,Hammamet Sud,NABEUL,north,Hammamet,Sale,Villa,36.4,10.6167,piscine|garage|parking|chauffage central|climatisation|terrasse,100,HIGH,1.5,False,False,unchanged,0.0,2085.71,2026-03-24T12:17:50.197685
affare_30000,affare,120.0,,,Sousse Sidi Abdelhamid,SOUSSE,east,Sidi El Heni,Sale,Land,35.6756,10.3106,,35,LOW,0.5,True,False,unchanged,0.0,,2026-03-24T12:20:42.725922
affare_259055,affare,760000.0,220.0,3.0,Hammamet,NABEUL,north,Hammamet,Sale,Villa,36.4,10.6167,piscine,100,HIGH,1.5,False,False,unchanged,0.0,3454.55,2026-03-24T12:18:52.965558
affare_259053,affare,850000.0,500.0,3.0,Akouda,SOUSSE,east,Akouda,Sale,Villa,35.8667,10.5667,haut standing|jardin,100,HIGH,1.5,False,False,unchanged,0.0,1700.0,2026-03-24T12:19:07.699769
affare_259058,affare,890000.0,500.0,4.0,Hammamet Sud,NABEUL,north,Hammamet,Sale,Villa,36.4,10.6167,haut standing|piscine|jardin|parking,100,HIGH,1.5,False,False,unchanged,0.0,1780.0,2026-03-24T12:18:27.800868
affare_259059,affare,1050.0,700.0,4.0,Hammamet Sud,NABEUL,north,Hammamet,Sale,Land,36.4,10.6167,piscine|jardin|parking|chauffage central|climatisation|terrasse,80,GOOD,1.0,True,False,unchanged,0.0,1.5,2026-03-24T12:18:44.522126
affare_259057,affare,860000.0,800.0,3.0,Hammamet Sud,NABEUL,north,Hammamet,Sale,Villa,36.4,10.6167,piscine|jardin|parking|chauffage central|climatisation|terrasse,100,HIGH,1.5,False,False,unchanged,0.0,1075.0,2026-03-24T12:18:35.596570
