property_id,source_name,price,surface,rooms,city,region,zone,municipalite,transaction_type,type,latitude,longitude,features,reliability_score,reliability_level,model_weight,is_outlier,suspected_duplicate,change_type,price_delta_pct,price_per_m2,scraped_at
affare_1700,affare,34000.0,1700.0,,,,,,Sale,Commercial,33.8439408,9.400138,accés par gp9 ou route tunis-marine|haut standing|kitchenette|meuble|open space|orientation sud est|parking|proximités des cafés et restaurants|vue,20,DROP,0.0,True,False,unchanged,0.0,20.0,2026-04-06T08:17:03.819645
affare_226855,affare,430.0,202.0,,,,,,Sale,Land,33.8439408,9.400138,calm area|four levels|good entourage|terrain|villa,20,DROP,0.0,True,False,new,,2.13,2026-04-06T08:20:06.964392
affare_1000,affare,550.0,1000.0,,Bizerte Nord,BIZERTE,north,Bizerte Nord,Sale,Land,37.2803,9.8205,plage|superficie|terrain|vue panoramique,85,HIGH,1.5,True,False,unchanged,0.0,0.55,2026-03-27T11:16:21.832237
affare_226648,affare,,90.0,2.0,Monastir,MONASTIR,east,Monastir,Rent,Apartment,35.7644,10.8,Ascenseur|Parking,90,HIGH,1.5,False,False,unchanged,,,2026-03-27T11:13:31.652495
affare_223096,affare,78000.0,312.0,,Hammamet Sud,NABEUL,north,Hammamet,Sale,Land,36.4,10.6167,eau et électricité disponible|semi- clôturé|titre foncier,100,HIGH,1.5,False,False,unchanged,0.0,250.0,2026-03-27T11:13:37.617510
affare_164918,affare,1500.0,,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,7 hectares|arbres variés|charrue|drop irrigation|farm|guard house|haut standing|high standing villa|irrigation|machines agricultural|motorized water well|oliviers|paper in order|pigeon coop|salinité 1.7g|shed|subventionned meter|terrace|terrasse|tractor|villa|water well,45,LOW,0.5,True,False,unchanged,0.0,,2026-03-27T00:38:38.690187
affare_220450,affare,155000.0,,,Bir Mchergua,ZAGHOUAN,north,Zaghouan,Sale,Land,36.4025,10.1431,nu|plat|proximité de l'électricité|proximité du réseau d'eau|route goudronnée,60,GOOD,1.0,False,False,unchanged,0.0,,2026-03-27T00:39:17.551397
affare_146110,affare,2500.0,660.0,,Sfax Ville,SFAX,east,Sfax Ville,Sale,Land,34.7406,10.76,4 cotes|410 m2 de couvert|661 m2|centre ville|coin de 3 rues|jardin|project educatif|projet commercial|projet médical|terrain|villa,80,GOOD,1.0,True,False,unchanged,0.0,3.79,2026-03-27T11:14:40.395781
affare_136985,affare,2500.0,661.0,7.0,Sfax Ville,SFAX,east,Sfax Ville,Sale,Land,34.7406,10.76,3 rues|compteur Electricté force|jardin|jardin de ses 4 cotés|terrain de 661 m2,90,HIGH,1.5,True,False,unchanged,0.0,3.78,2026-03-27T11:14:57.776841
affare_195701,affare,890000.0,430.0,3.0,Menzah,ARIANA,north,Ariana Ville,Sale,Villa,36.866011,10.193923,430 m2|jardin,100,HIGH,1.5,False,False,unchanged,0.0,2069.77,2026-03-28T23:52:42.726001
